"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000256268",28.6174147623249,0.254170564241781,0.385235049509134,0.659780475752776,0.509394714317393,0.734682634803089
"ENSG00000101911",495.140075336558,0.254115804438142,0.123545165280607,2.05686563177905,0.0396991527151494,0.134949989879822
"ENSG00000117480",30.3928993538214,0.254048281369423,0.371252346152535,0.684300810492503,0.493785235292812,0.72420180860843
"ENSG00000197324",12829.4092029458,0.253921677791616,0.0782753886457992,3.2439529484884,0.00117883217326299,0.00766559745700623
"ENSG00000180921",183.610392080595,0.253906026772833,0.182975435209284,1.38765089686722,0.165243374989711,0.378514804092284
"ENSG00000138190",346.762164304071,0.253812125202686,0.189063532050299,1.34247002819751,0.179443642089737,0.399258774381729
"ENSG00000204771",486.486243910097,0.253693991893371,0.119298477763151,2.12654844093687,0.0334576203228441,0.118202940764405
"ENSG00000169402",1.32694129472056,0.253637698290498,1.88614676021978,0.134473999393845,0.893027769808293,NA
"ENSG00000161955",39.1483963076626,0.253561141154197,0.32874736677122,0.77129482022788,0.440532201885267,0.681921652908202
"ENSG00000107829",505.760185826219,0.25351695771022,0.110720025887481,2.28971187170654,0.0220380247617066,0.0857367125141517
"ENSG00000183530",632.593317790295,0.253460870914791,0.116264339637015,2.18003965537595,0.0292545221917539,0.106763315960677
"ENSG00000273193",12.6587158656521,0.253402877478189,0.536919459581517,0.471956962922698,0.636957507818384,0.824997799613904
"ENSG00000262147",1.46107603320764,0.252923329594394,1.49121620688021,0.169608758560597,0.865317834021166,NA
"ENSG00000264350",16.7143810565268,0.252881905854531,0.460424489567942,0.549236436341241,0.582843202441061,0.788946010228407
"ENSG00000260260",71.0050382652799,0.252851287441853,0.23447721288066,1.07836187719676,0.280872293055622,0.528121917453491
"ENSG00000198832",2076.19679892498,0.252839802594913,0.0824825069725124,3.06537485189644,0.00217397337863133,0.0129547547797357
"ENSG00000154258",1904.63870500662,0.25277207583192,0.145461733506289,1.73772214684209,0.0822597844119423,0.230829198959873
"ENSG00000140650",168.14447153916,0.252720118138318,0.160249321191394,1.57704329890097,0.114785562485007,0.293637529590507
"ENSG00000269936",313.888759714095,0.252505036008748,0.146853797474334,1.71943143692201,0.0855358420890751,0.237435699592088
"ENSG00000053372",347.352877777725,0.252460437692932,0.136183743265686,1.85382213499887,0.0637646106204644,0.192178415294704
"ENSG00000221625",28.4596681537295,0.252380971702532,0.390087648924665,0.646985292659889,0.517641462150199,0.741214233740363
"ENSG00000261643",8.85202469931095,0.252057791607929,0.633839922567863,0.397667901047904,0.69087500144922,0.857227607904074
"ENSG00000100997",1252.34139516872,0.251986206794088,0.103973369411247,2.42356488224791,0.0153690075851932,0.0644048210030684
"ENSG00000261819",149.864432546252,0.251982883618039,0.176062959987051,1.43120894727983,0.15237034004069,0.358874343209734
"ENSG00000205362",3.59445522839249,0.251914590005262,1.00774576929005,0.249978315644763,0.802604117977212,NA
"ENSG00000179134",2532.28988435486,0.251900299086437,0.100085548394617,2.51684986620891,0.011840927323371,0.0524866277028089
"ENSG00000100345",41467.5934659203,0.251813311026974,0.0911481029127782,2.76268296300078,0.00573284211139223,0.0292063762437774
"ENSG00000135763",157.380936492183,0.251782499141234,0.177979136077911,1.41467424041779,0.157164030420031,0.365958393147469
"ENSG00000137449",442.309671860955,0.251715747434815,0.118339644964417,2.1270618777883,0.033414942234365,0.118075296564779
"ENSG00000261799",129.442304843602,0.251597905118777,0.21032040478495,1.19626008411325,0.231595080240966,0.46770326877647
"ENSG00000110713",2333.80306846588,0.251587836801866,0.0851296600674718,2.95534877741157,0.00312315762442453,0.0175059926277971
"ENSG00000255408",6.02998029707143,0.251567689000728,0.792552926369254,0.317414371495894,0.750929203736079,0.890695282893825
"ENSG00000188459",99.5924271238995,0.251557440825938,0.222668230320832,1.12974105225286,0.258585353542171,0.502945862913648
"ENSG00000104365",1010.4860665523,0.251534182291012,0.0918136163754042,2.73961741429015,0.0061510739675374,0.0309874717689735
"ENSG00000134287",2187.21518493606,0.251455139211259,0.0918909904565351,2.73645041763042,0.00621059534254118,0.0312296305679595
"ENSG00000147874",615.763731041858,0.251418171177485,0.103157774304028,2.437219810855,0.0148006793706457,0.062487906909736
"ENSG00000103254",106.496934653919,0.251377791509177,0.249062497571233,1.009296035977,0.312832680652355,0.562132426260415
"ENSG00000258734",15.7678233382609,0.251104651257045,0.475459225944491,0.528130778739713,0.597408569560529,0.79760634727643
"ENSG00000056998",267.496410056548,0.251024341433892,0.146075353557785,1.71845787341935,0.0857131320190197,0.237708273849118
"ENSG00000226081",1.85052157723328,0.251005378728293,1.3197327832876,0.190194092248743,0.849157040331701,NA
"ENSG00000232533",193.122106186324,0.25096769435497,0.159708211814428,1.57141383967519,0.116086553366072,0.295701755939681
"ENSG00000103326",492.529527623112,0.250932042636977,0.113570030614941,2.20949172310926,0.0271404574817241,0.101010676844262
"ENSG00000224829",9.65775040705102,0.250889556553823,0.596744573801096,0.420430394457927,0.674171068062158,0.846960222485974
"ENSG00000198561",4058.98586005722,0.250783093682326,0.113595121447886,2.2076924650094,0.0272657184545654,0.101288643121575
"ENSG00000133835",2500.09781834134,0.250745344644638,0.0897293118134601,2.79446414529421,0.00519858051923696,0.0270230632442406
"ENSG00000138376",91.3874362811607,0.250531658103947,0.238821405819936,1.0490335120665,0.29416269485834,0.542558244577856
"ENSG00000140995",1000.77309067514,0.250419262570035,0.0985358856123193,2.54140165294995,0.0110409002771245,0.0498346717890135
"ENSG00000163291",307.129006943249,0.250304750001272,0.126253505778308,1.9825568284875,0.0474169536881137,0.154447707533249
"ENSG00000078747",1515.13088690395,0.250197502108562,0.093997209965508,2.66175455846371,0.00777345378296825,0.0375994953365031
"ENSG00000096063",697.938109868674,0.250194493018764,0.0998466171073467,2.50578838089002,0.0122178719863258,0.0538004072423511
"ENSG00000231106",271.781096411094,0.250065619205029,0.154863673113883,1.61474679101235,0.106365540133506,0.277888064283887
"ENSG00000113621",1237.73881828884,0.249986476626711,0.0884904959412573,2.82500932973253,0.00472792393546029,0.0249207612990997
"ENSG00000042832",34.9884060760371,0.249985212247565,0.371150613747612,0.673541152804234,0.50060307687516,0.728678937860259
"ENSG00000237765",334.954508831484,0.249929672653031,0.136692119148422,1.82841318292574,0.0674875643535546,0.200186833430383
"ENSG00000011260",408.796516102391,0.249867586019535,0.122109191822539,2.04626353094423,0.040730449715726,0.137645432482222
"ENSG00000176834",572.523997168124,0.249769906673129,0.123552253560035,2.0215730549323,0.0432204780576059,0.144030985092358
"ENSG00000100417",548.531461998869,0.249663467075173,0.114975126819659,2.17145633130525,0.0298966947065898,0.108481505777623
"ENSG00000178809",42.6025492958339,0.249648216081856,0.288880052349316,0.864193335786228,0.38748169251629,0.633261788426674
"ENSG00000182446",2003.28693606086,0.249640426814358,0.085160080327853,2.9314254502025,0.00337410338723905,0.0186574156021756
"ENSG00000233523",4.08885973844215,0.249634061839795,0.88820353426296,0.281055019722415,0.778668200173249,NA
"ENSG00000244617",18.3755170076293,0.249600621843198,0.420541095579858,0.593522546230682,0.552831498767004,0.767652421940536
"ENSG00000132640",1449.15396177366,0.249552450011237,0.108677760093353,2.29626052098308,0.0216609899593429,0.0845252047060961
"ENSG00000185838",58.7270371575342,0.249427774344255,0.268788588791778,0.927970102694645,0.35342307828372,0.600921396733559
